SKU,name,price,short_description,image_large
PD204-10,صفاية بلوتو شبك  10 *10 سم  PD204-10 ,50.0,<p><b>صفاية شبكة بلوتو 10 * 10 سم </b><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/8e0cc5d2-c52b-447c-aa28-a38179b00c22-thumbnail-1000x1000-70.jpg
PD204-15, صفاية بلوتو شبك 15 *15  سم  PD204-15 ,85.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/c733135d-764d-4ce3-b549-e06ff92bf8e9-thumbnail-1000x1000-70.jpg
PD202-20,صفاية  بلوتو بلاط  20 *20  سم  PD202-20 ,119.0,"<h1 style=""line-height: 1.2;""><font color=""#003163""><font><b><span><font style=""background-color: inherit;"">صفاية بلوتو بلاط 20 *20 سم</font></span></b></font></font></h1><p></p>",https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/f869f86b-1d04-419f-bf14-55538c7425fa-thumbnail-1000x1000-70.jpg
PD203-30, صفاية بلوتو شبك 30 *8 سم  PD203-30 ,78.0,<p><b>صفاية شبكة بلوتو 30*8 سم </b><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/2aac16a9-7f26-4ee5-80b5-344e903a85ea-thumbnail-1000x1000-70.jpg
PD203-60, صفاية بلوتو شبك 60 *8 سم  PD203-60 ,125.0,<p><b>صفاية مصنوعة من ستانسل استيل SS 304 </b></p><br><p><b><br></b></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/a210a913-ecc5-433c-8ad0-4a1e8c07ca47-thumbnail-1000x1000-70.jpg
PD202-10,صفاية بلوتو بلاط 10 *10  سم  PD202-10 ,49.0,<p><b>صفاية بلوتو بلاط 30 *8 سم</b><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/db4656ba-31ef-4b4f-aea3-e5daeac7761b-thumbnail-1000x1000-70.jpg
PD202-15,صفاية بلوتو بلاط 15  *15  سم  PD202-15 ,93.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/d2b094a8-b816-4619-819d-9166901b6979-thumbnail-1000x1000-70.jpg
PD204-20,صفاية بلوتو  شبك  20 *20  سم  PD204-20 ,132.0,<p><b>صفاية بلوتو شبك 20 *20 سم </b><br><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/3099c9ac-5641-47d1-bd51-1ce77ed5540c-thumbnail-1000x1000-70.jpg
PD201-30,صفاية بلوتو بلاط 30 سم  PD201-30 ,87.0,<p><br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/71bc3374-0c3f-4ca8-99d6-620441d7829b-thumbnail-1000x1000-70.jpg
PD201-60,صفاية بلوتو بلاط 60 سم  PD201-60 ,138.0,<p>صفاية بلوتو بلاط 60 سم <br></p>,https://media.zid.store/thumbs/6654bfac-62c7-4351-b001-8dfc337809dd/064e28c2-49de-46f1-9dfd-035bca3f4bdf-thumbnail-1000x1000-70.jpg
